Player,Session,Total Distance (m),RPE,Avg Speed (m/min),Top Speed (m/s),HSD (m),HSD Ratio
Jackson,3/29 Game Total,970.0,6.0,74.61538461538461,8.4,61.0,0.06288659793814433
Jackson,4/19 Training Total,880.0,6.0,55.0,5.9,0.0,0.0
Jackson,4/19 Game 1,430.0,6.0,71.66666666666667,6.4,23.0,0.053488372093023255
Jackson,4/19 Game 2,420.0,6.0,70.0,6.8,6.0,0.014285714285714285
Jackson,4/19 Game 3,480.0,6.0,80.0,7.0,12.0,0.025
Jackson,4/19 Game 4,580.0,6.0,96.66666666666667,6.1,1.0,0.0017241379310344827
Jackson,4/19 Game 5,500.0,6.0,71.42857142857143,8.6,29.0,0.058
Jackson,4/19 Game 6,390.0,6.0,65.0,7.4,8.0,0.020512820512820513
Jackson,4/19 Game Total,3680.0,5.0,69.43396226415095,8.7,79.0,0.021467391304347827
Jackson,5/10 Training 1,350.0,5.0,58.333333333333336,5.8,0.0,0.0
Jackson,5/10 Training 2,290.0,5.0,36.25,4.5,0.0,0.0
Jackson,5/10 Training 3,810.0,5.0,50.625,5.4,0.0,0.0
Jackson,5/10 Training 4,620.0,5.0,51.666666666666664,6.1,1.0,0.0016129032258064516
Jackson,5/10 Training 5,590.0,5.0,53.63636363636363,6.4,3.0,0.005084745762711864
Jackson,5/10 Training 6,530.0,5.0,48.18181818181818,5.5,0.0,0.0
Jackson,5/10 Training 7,1670.0,5.0,52.1875,6.8,3.0,0.0017964071856287425
Jackson,5/10 Training Total,4860.0,5.0,50.625,6.8,7.0,0.001440329218106996
Jackson,5/10 Game 1,250.0,6.0,62.5,5.2,0.0,0.0
Jackson,5/10 Game 2,240.0,6.0,60.0,5.4,0.0,0.0
Jackson,5/10 Game 3,320.0,6.0,64.0,7.1,3.0,0.009375
Jackson,5/10 Game Total,810.0,6.0,62.30769230769231,7.1,3.0,0.003703703703703704
Jackson,8/23 Training 1,550.0,6.0,61.111111111111114,4.6,0.0,0.0
Jackson,8/23 Training 2,480.0,6.0,48.0,6.2,6.0,0.0125
Jackson,8/23 Training 3,380.0,6.0,54.285714285714285,5.8,0.0,0.0
Jackson,8/23 Training 4,440.0,6.0,48.888888888888886,5.0,0.0,0.0
Jackson,8/23 Training 5,380.0,6.0,34.54545454545455,3.8,0.0,0.0
Jackson,8/23 Training 6,430.0,6.0,47.77777777777778,6.5,2.0,0.004651162790697674
Jackson,8/23 Training 7,310.0,6.0,38.75,6.1,2.0,0.0064516129032258064
Jackson,8/23 Training 8,410.0,6.0,41.0,5.7,0.0,0.0
Jackson,8/23 Training 9,290.0,6.0,41.42857142857143,5.2,0.0,0.0
Jackson,8/23 Training Total,3670.0,6.0,45.875,6.5,10.0,0.0027247956403269754
Jackson,9/6 corner passing shoot,670.0,7.0,55.833333333333336,5.8,0.0,0.0
